F1 Score,Recall,Precision,Accuracy,Average Error,MSE,RMSE,Elapsed Time
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.020342588
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.009248972
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.1775105
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.088452578
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.016299725
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,1.977645874
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,1.984728336
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.020212889
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,1.999455929
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,1.990017653
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,1.975859404
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,1.994007826
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,1.981409073
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.048903227
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.060884476
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.016809464
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.191312551
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.190488338
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.160668373
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.111522436
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.097173214
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.120000839
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.02545929
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.06226635
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.052888155
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.050527096
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.062858343
0.95174319,0.953282082,0.963193105,0.953282082,0.380797755,2.427481716,1.391445192,2.031468868
